,AG_05414_AS.cel,AG_11745_AS.cel,AG_13927_AS.cel,KB_5047_2070_2_AS.CEL,KB_5275_2_AS.CEL,KB_5828_AS.cel,KB_6268_2_AS.cel,KB_8025_AS.cel,KB_8840_AS.cel
1129_at,8.79604904719925,8.79595350848052,8.79977392931002,8.91863345030574,8.89087255136722,8.95223731537464,8.76669277348826,8.89435435896685,9.01216053924814
113_i_at,9.08666727305715,8.83244794199521,9.02498373197737,8.93065070525104,8.905704787751,8.90085369822123,8.905704787751,8.79843823279889,8.88124642363613
1130_at,10.3390217928616,10.4718843278887,10.6605231079022,10.3114084422426,10.5550403082518,10.5504864533317,10.6121856790616,10.6592475742507,10.546479064032
1131_at,11.332985014271,11.5561656174691,11.3439526293999,11.3620142527975,11.6646317025250,11.6433282519450,11.528733771883,11.8678725163840,11.5865415480362
1132_s_at,9.64186099716742,9.83654513729477,9.63604560147157,9.9692775684704,9.84060103660912,9.9626651126036,9.59587192975624,9.6532978458894,9.922983614078
1133_at,8.72520039506926,8.67289586556121,8.73823081103985,8.66519987316568,8.49704068302148,8.67345637045232,8.72194665771467,9.06736178004785,8.7881136576762
1134_at,9.95441084426014,10.0321437189777,9.87248298300152,9.87591329882489,9.77384428783747,9.86877634880437,9.97607058816218,9.92766535148368,9.87701626204443
1135_at,9.98829742156829,10.0712057091403,10.2882615671814,9.9127563244338,9.94078456157233,10.2151669945856,9.8828558513147,9.85531325266661,9.95506775137523
1136_at,10.6840773623684,10.3729103087435,10.4918305554377,10.1696251332296,10.3991244296952,10.4328720352073,10.2534936469756,10.6649132772342,10.0101442603720
1137_at,9.15428610185523,9.16852855215324,9.19610937720495,9.30776595528808,9.24451354449078,9.15716053242865,9.26678613245318,9.34832429336089,9.25016029402403
1138_at,10.595954293788,10.2640055052516,10.35679845905,10.0378516421117,10.9983820627102,10.6110826464027,10.6654529012777,10.8689164262812,9.93534745382996
1139_at,8.64529833379462,8.62693202169627,8.82473518870743,8.63208189571148,8.65291750386728,8.50794323494188,8.65707028539349,8.64583923120405,8.55014264765873
114_r_at,9.55424212920546,9.24689012852843,9.14209137473287,9.17162739068957,9.43034820447994,9.05728507978255,9.17532141999026,9.27265793745394,9.48751965993982
1140_at,9.25200051517916,9.2970786072463,9.22077502026452,8.79743928234932,8.75307037292847,8.73974812346471,9.00302028973275,8.76521826488234,8.84296593318516
1141_at,9.21873990058936,9.26805060285157,9.21873990058936,9.23074427246139,9.16549033613989,9.24278735382469,9.2011886026005,9.0890813900602,9.28297292158283
1142_at,9.16492238345865,9.15931568756308,9.2673643367238,9.32914204830672,9.10448578138887,9.23862584072781,9.20582305512652,9.20151669094471,9.27369550967883
1143_s_at,8.61394230703082,8.59323826388192,8.4596664322804,8.80812801502868,8.70947090180258,8.65863399334751,8.68601488169364,8.74380594727111,8.80384519479417
1144_at,8.52538043349998,8.61497612474039,8.62484653396915,8.52834554107455,8.61497612474039,8.61497612474039,8.63228251743605,8.59612262785949,8.76746650071156
1145_g_at,8.95323794482723,9.00510549943233,9.02890310062381,9.05992062870093,8.99852411618816,8.9295788059992,8.99852411618816,9.04568007789958,8.87878521844868
1146_at,9.14953359676186,9.11408159346935,9.11322610239048,9.24208727677316,9.09915086478805,9.12273059991074,9.08329655394252,9.17637421732452,9.23075872255673
1147_at,8.6849450784728,8.60018454608218,8.46337952177326,8.74886401308697,8.71210681823696,8.60191222838674,9.01502097429487,8.67240728964227,8.60081962960201
1148_s_at,8.8021445107621,9.00799245148669,8.96431255167007,8.93198832864297,9.04425418448576,8.95918916778247,8.8204281775129,8.91782697456508,8.75738644462492
1149_at,8.77468980826458,8.77074142679764,8.67567822364971,8.77036874861087,8.85347830073652,8.78846360160986,8.74960912150961,8.78846360160986,8.98552745876284
115_at,11.701413983755,12.8463546659349,11.5214325740228,12.7510786939588,12.9094875155814,12.4399405360461,11.7934635582764,12.5617452204370,12.0576318403614
1150_at,8.67699465069704,8.6758989625778,8.57027860842145,8.6897562664391,8.72078124173117,8.6758989625778,8.6758989625778,8.64481894781112,8.7319375842743
1151_at,11.4548659649705,11.4234730834751,11.3377305054101,11.4468504354696,11.4304821219321,11.4758753007893,11.6497908875368,11.4140785456087,11.4181779214232
1152_i_at,8.71118844092868,8.68663527789956,8.7423674630972,8.77702520195246,8.70842681058382,8.95335066068934,8.51319175762074,8.43975581040774,8.80792315497358
1153_f_at,10.4801236395979,10.7527214451538,10.7249397977105,10.7032854125423,10.6356050366469,10.6650921784485,10.663708981752,10.7541252835085,10.6650921784485
1154_at,10.4547460208736,10.2933987272492,10.4507077667531,9.9770228927804,10.6202082542767,10.2577224377028,10.3378847346881,10.6321055279118,10.0226776686682
